file_name,bank_Bank Name,bank_Branch Name,bank_Banker Name,bank_Date (MM/DD/YYYY),bank_Banker Phone,bank_Branch Number,bank_Banker AU,bank_Banker MAC,bank_Enterprise Customer Number (ECN),bank_Account Number,legal_Full Legal Entity Name,legal_Street Address,legal_City,legal_State,legal_ZIP/Postal Code,owner1_Full Legal Name,owner1_Date of Birth (MM/DD/YYYY),owner1_Street Address,owner1_City,owner1_State,owner1_ZIP/Postal Code,owner1_Country,owner1_TIN Number,owner1_Primary ID Type,owner1_Enterprise Customer Number (ECN) (For Bank Use Only),owner2_Full Legal Name,owner2_Date of Birth (MM/DD/YYYY),owner2_Street Address,owner2_City,owner2_State,owner2_ZIP/Postal Code,owner2_Country,owner2_TIN Number,owner2_Primary ID Type,owner2_Enterprise Customer Number (ECN) (For Bank Use Only),owner3_Full Legal Name,owner3_Date of Birth (MM/DD/YYYY),owner3_Street Address,owner3_City,owner3_State,owner3_ZIP/Postal Code,owner3_Country,owner3_TIN Number,owner3_Primary ID Type,owner3_Enterprise Customer Number (ECN) (For Bank Use Only),owner4_Full Legal Name,owner4_Date of Birth (MM/DD/YYYY),owner4_Street Address,owner4_City,owner4_State,owner4_ZIP/Postal Code,owner4_Country,owner4_TIN Number,owner4_Primary ID Type,owner4_Enterprise Customer Number (ECN) (For Bank Use Only),control_Full Legal Name of Individual with Control,control_Date of Birth (MM/DD/YYYY),control_Street Address,control_City,control_State,control_ZIP/Postal Code,control_Country,control_TIN Number,control_Enterprise Customer Number (ECN) (For Bank Use Only)
file0,Global Union Bank,Central City,Sarah Wilson,03/29/2024,(555) 123-4567,1101,SWILSON,AB12CD34,ECN00001234,12345678901,ABC Corporation,123 Main St,New York,NY,10001,John Doe,01-01-1980,123 Main St,New York,NY,10001,USA,111-22-3333,SSN,123456789,Jane Smith,02-02-1990,456 Elm St,Los Angeles,CA,90001,USA,444-55-6666,SSN,987654321,Michael Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Sarah Williams,04-04-1985,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,John Doe,09-09-1979,123 Main St,New York,NY,10001,USA,111-22-3333,123456789
file1,Capital Trust,Midtown Branch,John Miller,03/30/2024,(555) 567-8901,2202,JMILLER,EF56GH78,ECN00005678,23456789012,XYZ Inc,456 Elm St,Los Angeles,CA,90001,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,SSN,654123789,James Jones,06-06-1975,987 Cedar St,Phoenix,AZ,85001,USA,888-99-0000,SSN,987456321,Mary Davis,07-07-1987,321 Birch St,San Antonio,TX,78201,USA,111-22-3333,SSN,321654987,Robert Miller,08-08-1997,654 Willow St,Dallas,TX,75201,USA,444-55-6666,SSN,654987321,Jane Smith,10-10-1984,456 Elm St,Los Angeles,CA,90001,USA,444-55-6666,987654321
file2,United World Bank,Eastside Financial,Emily Parker,03/22/2024,(555) 901-2345,3303,EPARKER,IJ90KL12,ECN00009012,34567890123,DEF Enterprises,789 Oak St,Chicago,IL,60601,Michael Garcia,09-09-1972,987 Magnolia St,San Diego,CA,92101,USA,777-88-9999,SSN,987321456,Susan Wilson,10-10-1982,321 Cherry St,San Jose,CA,95101,USA,222-33-4444,SSN,321789456,Daniel Moore,11-11-1992,654 Hickory St,Austin,TX,78701,USA,555-66-7777,SSN,654321789,Lisa Taylor,12-12-1973,987 Walnut St,Jacksonville,FL,32201,USA,888-99-0000,SSN,987654123,Michael Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,456123789
file3,First Regional Bank,Lakeside,Michael Lee,03/31/2024,(555) 234-5678,4404,MLEE,MN34OP56,ECN00003456,45678901234,GHI LLC,321 Maple St,Houston,TX,77001,Betty Clark,01-01-1984,321 Chestnut St,Fort Worth,TX,76101,USA,111-22-3333,SSN,321456789,Sandra White,02-02-1994,654 Ash St,Columbus,OH,43201,USA,444-55-6666,SSN,654987321,Patricia Johnson,03-03-1975,987 Sycamore St,Charlotte,NC,28201,USA,777-88-9999,SSN,987321456,Debra Brown,04-04-1986,321 Poplar St,Indianapolis,IN,46201,USA,222-33-4444,SSN,321789456,Sarah Williams,04-04-1985,321 Maple St,Houston,TX,77001,USA,222-33-4444,321456987
file4,National Commerce Bank,West End,Olivia Davis,03/28/2024,(555) 345-6789,5505,ODAVIS,QR78ST90,ECN00007890,56789012345,JKL Partners,654 Pine St,Philadelphia,PA,19101,Mark Davis,05-05-1996,654 Maple St,San Francisco,CA,94101,USA,555-66-7777,SSN,654321789,Ronald Miller,06-06-1977,987 Oak St,Boston,MA,2101,USA,888-99-0000,SSN,987654123,Angela Williams,07-07-1988,321 Elm St,Seattle,WA,98101,USA,111-22-3333,SSN,321456789,Brenda Thompson,08-08-1998,654 Pine St,Denver,CO,80201,USA,444-55-6666,SSN,654987321,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,654123789
file5,Global Union Bank,Downtown District,David Johnson,03/25/2024,(555) 678-9012,1102,DJOHNSON,UV12WX34,ECN00012345,67890123456,MNO Holdings,987 Cedar St,Phoenix,AZ,85001,Emily Johnson,03-03-1970,789 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Sarah Williams,04-04-1985,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,David Brown,05-05-1995,654 Pine St,Philadelphia,PA,19101,USA,555-66-7777,SSN,654123789,James Jones,06-06-1975,987 Cedar St,Phoenix,AZ,85001,USA,888-99-0000,SSN,987456321,James Jones,06-06-1975,987 Cedar St,Phoenix,AZ,85001,USA,888-99-0000,987456321
file6,United World Bank,Northside Branch,Jessica Taylor,03/15/2024,(555) 012-3456,3304,JTAYLOR,YZ56AB78,ECN00016789,78901234567,PQR Investments,321 Birch St,San Antonio,TX,78201,Mary Davis,07-07-1987,321 Birch St,San Antonio,TX,78201,USA,111-22-3333,SSN,321654987,Robert Miller,08-08-1997,654 Willow St,Dallas,TX,75201,USA,444-55-6666,SSN,654987321,Michael Garcia,09-09-1972,987 Magnolia St,San Diego,CA,92101,USA,777-88-9999,SSN,987321456,Susan Wilson,10-10-1982,321 Cherry St,San Jose,CA,95101,USA,222-33-4444,SSN,321789456,Mary Davis,07-07-1987,321 Birch St,San Antonio,TX,78201,USA,111-22-3333,321654987
file7,Capital Trust,South End,William Brown,03/30/2024,(555) 456-7890,2203,WBROWN,CD90EF12,ECN00020123,89012345678,STU Solutions,654 Willow St,Dallas,TX,75201,Daniel Moore,11-11-1992,654 Hickory St,Austin,TX,78701,USA,555-66-7777,SSN,654321789,Lisa Taylor,12-12-1973,987 Walnut St,Jacksonville,FL,32201,USA,888-99-0000,SSN,987654123,Betty Clark,01-01-1984,321 Chestnut St,Fort Worth,TX,76101,USA,111-22-3333,SSN,321456789,Sandra White,02-02-1994,654 Ash St,Columbus,OH,43201,USA,444-55-6666,SSN,654987321,Robert Miller,08-08-1997,654 Willow St,Dallas,TX,75201,USA,444-55-6666,654987321
file8,First Regional Bank,Riverview,Thomas Smith,03/20/2024,(555) 789-0123,4405,TSMITH,GH34IJ56,ECN00024567,90123456789,VWX Technologies,987 Magnolia St,San Diego,CA,92101,Patricia Johnson,03-03-1975,987 Sycamore St,Charlotte,NC,28201,USA,777-88-9999,SSN,987321456,Debra Brown,04-04-1986,321 Poplar St,Indianapolis,IN,46201,USA,222-33-4444,SSN,321789456,Mark Davis,05-05-1996,654 Maple St,San Francisco,CA,94101,USA,555-66-7777,SSN,654321789,Ronald Miller,06-06-1977,987 Oak St,Boston,MA,2101,USA,888-99-0000,SSN,987654123,Michael Garcia,09-09-1972,987 Magnolia St,San Diego,CA,92101,USA,777-88-9999,987321456
file9,Global Union Bank,Financial Center,Emma Roberts,03/18/2024,(555) 111-2222,1103,EROBERTS,KL78MN90,ECN00028901,1234567,YZA Enterprises,321 Cherry St,San Jose,CA,95101,Angela Williams,07-07-1988,321 Elm St,Seattle,WA,98101,USA,111-22-3333,SSN,321456789,Brenda Thompson,08-08-1998,654 Pine St,Denver,CO,80201,USA,444-55-6666,SSN,654987321,Pamela Johnson,09-09-1979,987 Oak St,Chicago,IL,60601,USA,777-88-9999,SSN,456123789,Laura Wilson,10-10-1984,321 Maple St,Houston,TX,77001,USA,222-33-4444,SSN,321456987,Susan Wilson,10-10-1982,321 Cherry St,San Jose,CA,95101,USA,222-33-4444,321789456
